ip_address,first_seen,last_seen,sources,asn,isp_name,country,city,hostname,host_type,risk_level,abuse_contact,cidr,asn_registry,updated_date
118.182.166.128,2025-11-26 10:44:29,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,118.180.0.0/14,apnic,Unknown
171.244.37.97,2025-11-26 10:44:30,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",7552,"VIETEL-AS-AP Viettel Group, VN",VN,Unknown,Unknown,Residential/ISP,Moderate (Res),hm-changed@vnnic.vn,171.224.0.0/11,apnic,Unknown
101.126.14.37,2025-11-26 10:44:35,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",137718,"VOLCANO-ENGINE Beijing Volcano Engine Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,101.126.0.0/16,apnic,Unknown
1.12.64.80,2025-11-26 10:44:36,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,1.12.0.0/14,apnic,Unknown
222.112.27.113,2025-11-26 10:48:57,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",4766,"KIXS-AS-KR Korea Telecom, KR",KR,Unknown,Unknown,Residential/ISP,Moderate (Res),hostmaster@nic.or.kr,222.112.0.0/13,apnic,Unknown
45.78.207.207,2025-11-26 10:49:01,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
14.225.213.215,2025-11-26 10:49:05,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",VN,Unknown,static.vnpt.vn,Residential/ISP,Moderate (Res),hm-changed@vnnic.vn,14.224.0.0/11,apnic,Unknown
45.78.207.244,2025-11-26 10:49:10,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
116.111.2.94,2025-11-26 10:49:11,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",7552,"VIETEL-AS-AP Viettel Group, VN",VN,Unknown,Unknown,Residential/ISP,Moderate (Res),hm-changed@vnnic.vn,116.96.0.0/12,apnic,Unknown
182.43.184.15,2025-11-26 10:49:17,2025-11-27 13:34:58,GreenSnow,58519,"CHINATELECOM-CTCLOUD Cloud Computing Corporation, CN",CN,Unknown,Unknown,Cloud/Hosting,High (Cloud),anti-spam@chinatelecom.cn,182.32.0.0/12,apnic,Unknown
114.220.238.30,2025-11-26 10:49:19,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,114.216.0.0/13,apnic,Unknown
84.247.181.144,2025-11-26 10:49:21,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",51167,"CONTABO, DE",DE,Unknown,vmd127695.contaboserver.net,Residential/ISP,Moderate (Res),abuse@contabo.de,84.247.160.0/19,ripencc,Unknown
172.183.229.221,2025-11-26 10:49:23,2025-11-26 10:49:23,GreenSnow,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@microsoft.com,172.183.0.0/16,ripencc,Unknown
14.103.112.100,2025-11-26 10:49:28,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
12.156.67.18,2025-11-26 10:49:30,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",7018,"ATT-INTERNET4, US",US,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,12.156.67.16/28,arin,Unknown
106.13.105.169,2025-11-26 10:49:31,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,106.12.0.0/15,apnic,Unknown
103.217.145.104,2025-11-26 10:49:33,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,ip103-217-145-104.cloudhost.web.id,Cloud/Hosting,High (Cloud),abuse@idnic.net,0.0.0.0/0,apnic,Unknown
45.7.241.247,2025-11-26 10:49:34,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",52444,"Pogliotti & Pogliotti Construcciones S.A., AR",AR,Unknown,Unknown,Residential/ISP,Moderate (Res),pablo.remondino@cabletvsrl.com.ar,45.7.240.0/22,lacnic,Unknown
103.76.111.158,2025-11-26 10:49:36,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",136142,"EFPL-AS-AP Enigma Fiber Pvt Ltd, PK",PK,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@enigmafiber.com,103.76.111.0/24,apnic,Unknown
59.42.251.44,2025-11-26 10:49:37,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse_gdicnoc@163.com,59.42.251.0/24,apnic,Unknown
101.47.141.193,2025-11-26 10:49:38,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
72.14.186.195,2025-11-26 10:49:39,2025-11-27 13:35:00,GreenSnow,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,Unknown,72-14-186-195.ip.linodeusercontent.com,Cloud/Hosting,High (Cloud),abuse@linode.com,72.14.176.0/20,arin,Unknown
47.239.216.24,2025-11-26 10:49:41,2025-11-27 13:34:59,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,47.238.0.0/15,arin,Unknown
201.186.40.161,2025-11-26 10:49:43,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",14117,"Telefonica del Sur S.A., CL",CL,Unknown,Unknown,Residential/ISP,Moderate (Res),netadmin@grupogtd.com,201.186.0.0/16,lacnic,Unknown
101.47.142.206,2025-11-26 10:49:45,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
45.78.217.60,2025-11-26 10:49:50,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
45.78.198.162,2025-11-26 10:49:57,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
180.76.104.44,2025-11-26 10:49:58,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,180.76.0.0/16,apnic,Unknown
45.78.216.149,2025-11-26 10:50:05,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
124.18.141.70,2025-11-26 10:50:09,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",18126,"CTCX Chubu Telecommunications Company, Inc., JP",JP,Unknown,124-18-141-70.area54b.commufa.jp,Residential/ISP,Moderate (Res),hostmaster@nic.ad.jp,124.18.128.0/20,apnic,Unknown
155.4.47.54,2025-11-26 10:50:12,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",8473,"BAHNHOF, SE",NO,Unknown,h-155-4-47-54.NA.cust.bahnhof.se,Residential/ISP,Moderate (Res),abuse@bahnhof.net,155.4.47.48/29,ripencc,Unknown
45.78.219.188,2025-11-26 10:50:18,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
202.165.16.9,2025-11-26 10:50:19,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",18206,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY,Unknown,Unknown,Residential/ISP,Moderate (Res),vads.ictsd@vads.com,202.165.16.0/23,apnic,Unknown
47.76.129.167,2025-11-26 10:50:21,2025-11-26 10:50:21,"GreenSnow, IPSum Level 3",45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,47.76.0.0/16,arin,Unknown
14.103.115.208,2025-11-26 10:50:26,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
73.159.162.51,2025-11-26 10:50:28,2025-11-27 13:34:59,GreenSnow,7922,"COMCAST-7922, US",US,Unknown,c-73-159-162-51.hsd1.ma.comcast.net,Residential/ISP,Moderate (Res),abuse@comcast.net,73.0.0.0/8,arin,Unknown
121.204.179.231,2025-11-26 10:50:29,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",133774,"CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou, CN",CN,Unknown,231.179.204.121.broad.xm.fj.dynamic.163data.com.cn,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,121.204.0.0/14,apnic,Unknown
85.133.206.110,2025-11-26 10:50:31,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",204203,"SEPEHR-SABZ-DC-TEH, IR",IR,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@sepanta.net,85.133.206.0/24,ripencc,Unknown
116.193.191.104,2025-11-26 10:50:32,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,ip116-193-191-104.cloudhost.web.id,Cloud/Hosting,High (Cloud),admin@idcloudhost.com,116.193.190.0/23,apnic,Unknown
207.180.241.98,2025-11-26 10:50:34,2025-11-26 10:50:34,GreenSnow,51167,"CONTABO, DE",DE,Unknown,vmi1651541.contaboserver.net,Residential/ISP,Moderate (Res),abuse@contabo.de,207.180.224.0/19,ripencc,Unknown
47.237.139.198,2025-11-26 10:50:36,2025-11-26 10:50:36,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),intl-abuse@list.alibaba-inc.com,"47.235.0.0/16, 47.236.0.0/14, 47.240.0.0/14, 47.244.0.0/15, 47.246.0.0/16",arin,Unknown
45.33.70.128,2025-11-26 10:50:37,2025-11-26 10:50:37,"GreenSnow, IPSum Level 3",63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,Unknown,45-33-70-128.ip.linodeusercontent.com,Cloud/Hosting,High (Cloud),abuse@linode.com,45.33.0.0/17,arin,Unknown
45.78.218.102,2025-11-26 10:50:41,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
8.213.212.252,2025-11-26 10:50:42,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.208.0.0/12,apnic,Unknown
35.196.44.216,2025-11-26 10:50:43,2025-11-27 13:34:58,GreenSnow,396982,"GOOGLE-CLOUD-PLATFORM, US",US,Unknown,216.44.196.35.bc.googleusercontent.com,Cloud/Hosting,High (Cloud),google-cloud-compliance@google.com,35.192.0.0/12,arin,Unknown
23.91.96.70,2025-11-26 10:50:45,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),unoc@ucloud.cn,23.91.96.0/24,arin,Unknown
60.171.154.168,2025-11-26 10:50:46,2025-11-27 13:34:58,GreenSnow,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,"60.166.0.0/15, 60.168.0.0/13",apnic,Unknown
81.88.53.43,2025-11-26 10:50:51,2025-11-26 10:50:51,"GreenSnow, IPSum Level 3",39729,"REGISTER-AS, IT",IT,Unknown,lhwp3293.webapps.net,Residential/ISP,Moderate (Res),abuse@register.it,81.88.52.0/23,ripencc,Unknown
96.78.175.45,2025-11-26 10:50:52,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",7922,"COMCAST-7922, US",US,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@comcast.net,96.78.128.0/18,arin,Unknown
117.50.73.90,2025-11-26 10:50:54,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",4808 23724,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),jacky.jia@ucloud.cn,117.50.0.0/16,apnic,Unknown
103.253.27.139,2025-11-26 10:50:55,2025-11-27 13:34:58,GreenSnow,133210,"ENTECHNOLOGIES-AS-AP EN Technologies Pte Ltd, SG",SG,Unknown,fsutil-set-out.rapidgalery.com,Residential/ISP,Moderate (Res),abuse@axgn.com.sg,103.253.24.0/22,apnic,Unknown
